1,3,3.45,10.64,6.67,2.92
2,1,1.29,1.72,3.65,2.67
3,4,3.10,1.93,1.65,2.27
4,1,1.76,1.29,1.93,2.17
5,4,3.66,2.37,2.11,7.46
6,4,1.22,1.69,3.62,14.29
7,4,1.31,1.01,1.46,4.05
8,3,11.63,1.11,1.02,1.08
9,3,5.59,8.26,11.36,1.17
10,1,1.75,2.86,1.46,2.62
11,3,2.47,1.12,1.58,3.32
12,3,8.47,1.32,1.01,2.79
13,4,1.93,58.82,7.35,1.07
14,1,4.46,1.46,2.04,1.49
15,2,1.18,7.52,4.74,2.09
16,1,2.55,1.40,4.44,2.38
17,4,2.62,1.94,2.40,1.21
18,1,2.85,1.31,1.06,8.06
19,1,1.19,1.43,1.88,23.26
20,2,2.08,2.13,1.27,1.20
21,4,9.17,1.04,1.44,1.56
22,1,1.38,2.24,4.76,1.14
23,1,6.90,22.22,76.92,1.08
24,4,14.49,1.27,2.08,1.52
25,1,1.01,1.13,11.11,2.07
26,1,2.36,1.41,1.09,1.09
27,3,5.71,30.30,4.20,2.35
28,4,3.44,4.72,2.18,1.10
29,3,3.14,3.42,1.45,1.02
30,4,1.61,6.06,2.17,1.60
31,4,9.09,1.03,1.95,1.70
32,1,1.25,1.85,1.63,2.26
33,3,1.39,2.34,10.75,2.45
34,4,5.92,5.03,1.15,1.45
35,2,1.71,3.50,4.35,1.91
36,4,1.14,1.28,3.80,3.52
37,4,1.40,2.47,5.10,2.20
38,1,1.14,4.07,13.33,1.14
39,3,1.98,2.30,3.26,1.05
40,1,2.26,1.01,2.56,1.22
41,3,3.31,2.12,7.94,1.47
42,3,1.76,3.06,1.73,1.03
43,1,5.01,1.64,3.31,2.65
44,4,2.42,2.08,2.56,17.86
45,4,1.87,8.06,1.77,1.90
46,1,1.79,1.79,1.86,1.73
47,4,4.44,5.85,1.54,2.01
48,4,4.69,1.85,55.56,1.18
49,4,2.20,2.75,2.54,1.40
50,2,1.43,14.49,1.36,16.13
51,3,2.47,14.93,1.60,2.65
52,2,2.13,1.11,2.76,1.35
53,3,35.71,4.88,2.75,2.54
54,1,1.06,2.05,8.40,1.34
55,3,2.78,3.50,1.56,3.97
56,2,2.04,62.50,1.61,2.81
57,3,2.88,1.69,4.65,3.30
58,3,2.65,1.17,3.95,2.04
59,1,4.67,2.21,1.40,1.42
60,1,2.56,1.51,4.24,2.65
61,1,16.95,2.75,1.32,3.26
62,2,6.54,5.99,5.49,2.40
63,2,1.04,3.48,1.36,32.26
64,2,4.08,1.81,1.74,1.80
65,1,2.12,2.51,1.15,1.47
66,4,1.56,2.13,1.01,12.82
67,3,2.80,1.46,1.01,20.41
68,4,1.09,1.80,1.23,4.57
69,2,4.67,1.66,7.81,1.43
70,2,1.06,2.49,1.40,2.46
71,1,10.10,1.81,1.16,1.21
72,4,2.89,7.94,1.10,2.55
73,1,1.03,1.85,4.27,2.97
74,1,5.03,2.38,1.80,2.49
75,1,1.36,1.07,11.49,1.06
76,4,1.68,1.27,2.52,2.14
77,1,5.01,7.52,3.94,38.46
78,1,142.86,31.25,1.03,6.13
79,1,2.92,1.81,1.68,1.17
80,1,1.16,3.86,2.46,1.94
81,4,1.75,1.49,3.01,6.90
82,2,2.26,2.59,2.19,1.02
83,2,3.60,8.62,1.20,3.32
84,1,1.08,6.45,1.21,1.56
85,4,1.39,3.01,1.85,2.54
86,2,3.48,9.71,7.94,1.49
87,3,3.01,16.67,17.54,13.33
88,3,2.92,5.29,10.10,7.25
89,1,2.53,1.16,2.82,1.10
90,4,3.85,1.02,2.11,2.07
91,3,2.70,1.24,2.21,1.30
92,4,1.42,1.20,1.48,6.80
93,4,3.85,2.14,1.62,71.43
94,2,1.57,1.32,2.69,2.12
95,4,1.53,5.46,5.35,4.85
96,3,1.39,2.62,2.48,3.11
97,1,1.54,1.42,2.04,20.83
98,4,1.02,1.59,1.67,1.10
99,1,1.77,2.19,1.54,2.13
100,4,10.01,1.11,9.01,1.01
101,2,1.22,5.49,3.38,2.02
102,2,1.55,2.88,142.86,3.44
103,1,1.12,3.11,5.59,1.17
104,3,1.17,1.07,1.89,1.45
105,2,6.76,3.86,1.48,1.03
106,4,1.70,1.77,1.67,2.93
107,3,1.13,1.27,2.55,1.14
108,3,2.51,1.35,1.21,2.01
109,2,1.34,1.30,2.56,5.68
110,2,1.02,1.20,1.03,1.69
111,2,1.42,4.07,1.47,5.26
112,4,21.74,1.17,2.19,2.67
113,4,4.46,4.69,1.06,1.15
114,1,1.63,71.43,4.10,2.30
115,1,1.19,14.49,2.98,3.12
116,2,3.94,1.01,1.99,2.15
117,1,5.43,1.14,1.64,8.55
118,1,2.40,1.34,1.90,4.59
119,1,1.52,38.46,1.19,5.68
120,3,10.10,2.17,5.24,3.69
121,2,13.51,1.11,1.24,1.56
122,1,3.95,3.82,1.41,1.24
123,1,200.01,4.07,1.40,8.62
124,2,4.08,1.03,2.01,2.48
125,3,16.13,2.27,2.45,15.38
126,3,3.22,1.60,1.53,2.06
127,4,2.20,2.18,1.02,3.22
128,4,5.68,14.93,1.20,1.10
129,4,1.03,2.53,1.22,2.10
130,3,6.54,1.22,29.41,4.65
131,4,1.33,1.62,4.13,1.35
132,1,1.30,2.02,3.10,8.40
133,3,1.22,1.15,3.94,3.56
134,2,1.93,2.64,1.28,1.57
135,2,1.60,1.67,2.06,35.71
136,3,1.34,1.06,4.85,4.88
137,4,1.29,1.77,1.38,6.37
138,2,10.87,1.28,8.47,2.56
139,1,1.40,1.14,1.39,15.15
140,1,1.21,3.91,4.24,5.01
141,1,2.07,1.86,3.56,2.05
142,1,1.56,1.50,1.28,5.78
143,4,2.56,1.41,4.61,1.88
144,4,14.93,7.09,1.34,15.63
145,1,1.12,1.51,10.87,1.09
146,4,1.15,58.82,3.64,1.43
147,4,1.05,1.91,1.23,1.65
148,1,1.40,2.07,1.69,2.09
149,1,1.55,3.80,3.13,14.49
150,2,1.47,1.65,33.33,1.10
151,4,2.21,13.16,2.39,1.95
152,2,2.96,2.61,2.33,2.61
153,2,1.33,1.94,1.03,1.16
154,2,8.33,38.46,6.06,1.87
155,3,1.32,2.42,5.03,1.31
156,4,1.09,4.83,1.77,1.72
157,3,6.49,2.18,1.10,1.83
158,2,1.48,1.15,1.02,3.79
159,4,2.71,4.18,1.01,8.40
160,4,1.29,1.65,2.30,1.14
161,4,2.01,2.43,1.42,1.36
162,4,1.49,4.15,18.87,3.33
163,4,1.62,2.02,3.95,1.59
164,4,17.24,1.53,1.48,2.68
165,3,1.28,1.36,1.12,4.76
166,3,1.03,1.93,1.20,1.84
167,4,1.52,1.55,1.96,1.15
168,2,8.40,1.06,4.01,90.91
169,2,2.70,40.01,3.23,7.75
170,3,1.72,28.57,1.33,2.14
171,4,3.80,1.47,1.57,1.08
172,1,1.75,1.61,1.14,5.13
173,3,1.49,1.56,1.33,1.36
174,4,16.13,1.08,7.69,2.98
175,1,1.56,2.14,1.14,5.35
176,4,1.08,1.23,2.19,1.05
177,3,1.02,1.01,4.15,1.95
178,3,16.13,1.08,5.81,1.29
179,2,4.63,1.48,27.03,5.13
180,2,1.01,1.72,2.77,9.43
181,2,3.02,1.25,1.10,7.52
182,1,1.42,1.26,13.51,1.15
183,4,8.47,76.92,1.35,1.08
184,4,2.47,1.64,1.83,2.01
185,4,5.81,500.01,1.67,1.06
186,1,2.81,4.67,1.01,1.15
187,4,6.80,3.29,6.25,1.96
188,4,1.24,6.17,1.35,1.68
